# Problem: paine (Numerov, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 500, dofs = 500
# Computation time: 0.2685 s
n,lambda_n
1,4.89666937985
2,10.0451898915
3,16.0192672413
4,23.2662709043
5,32.2637069296
6,43.2200193168
7,56.1815932326
8,71.1529958054
9,88.132115713
10,107.116669627
11,128.105009776
12,151.096024407
13,176.08896559
14,203.083322382
15,232.078738423
16,263.074959658
17,296.071800968
18,331.069124534
19,368.066825522
20,407.06482243
21,448.063050434
22,491.061456719
23,536.059997139
24,583.058633771
25,632.057333111
26,683.056064693
27,736.054800032
28,791.053511786
29,848.052173085
30,907.050756976
31,968.04923596
32,1031.0475816
33,1096.04576414
34,1163.04375226
35,1232.04151271
36,1303.03901011
37,1376.03620664
38,1451.03306188
39,1528.02953249
40,1607.02557205
41,1688.0211308
42,1771.01615545
43,1856.01058894
44,1943.00437019
45,2031.99743396
46,2122.98971052
47,2215.98112551
48,2310.97159968
49,2407.96104863
50,2506.94938262
51,2607.93650628
52,2710.92231843
53,2815.90671176
54,2922.88957262
55,3031.87078076
56,3142.85020905
57,3255.82772324
58,3370.80318166
59,3487.77643494
60,3606.74732578
61,3727.7156886
62,3850.68134928
63,3975.64412487
64,4102.60382327
65,4231.56024293
66,4362.51317255
67,4495.46239072
68,4630.40766568
69,4767.34875488
70,4906.28540476
71,5047.21735033
72,5190.14431485
73,5335.06600951
74,5481.98213302
75,5630.8923713
76,5781.79639707
77,5934.69386953
78,6089.58443393
79,6246.4677212
80,6405.34334761
81,6566.21091429
82,6729.07000692
83,6893.92019525
84,7060.76103272
85,7229.59205606
86,7400.41278485
87,7573.22272105
88,7748.02134866
89,7924.80813319
90,8103.58252124
91,8284.3439401
92,8467.09179719
93,8651.82547969
94,8838.54435403
95,9027.2477654
96,9217.93503729
97,9410.605471
98,9605.25834513
99,9801.89291511
100,10000.5084127
101,10201.1040453
102,10403.6789957
103,10608.2324216
104,10814.7634546
105,11023.2712001
106,11233.7547368
107,11446.2131157
108,11660.64536
109,11877.0504643
110,12095.4273943
111,12315.7750856
112,12538.092444
113,12762.3783442
114,12988.6316294
115,13216.851111
116,13447.0355674
117,13679.1837442
118,13913.2943526
119,14149.3660698
120,14387.3975375
121,14627.3873617
122,14869.3341121
123,15113.2363211
124,15359.0924836
125,15606.9010559
126,15856.6604554
127,16108.3690596
128,16362.0252056
129,16617.6271895
130,16875.1732655
131,17134.6616452
132,17396.0904969
133,17659.4579452
134,17924.7620698
135,18192.0009052
136,18461.1724395
137,18732.274614
138,19005.3053225
139,19280.2624102
140,19557.1436734
141,19835.9468581
142,20116.66966
143,20399.3097231
144,20683.8646391
145,20970.3319467
146,21258.7091308
147,21548.9936215
148,21841.1827934
149,22135.273965
150,22431.2643974
151,22729.1512938
152,23028.9317988
153,23330.602997
154,23634.1619128
155,23939.605509
156,24246.9306864
157,24556.1342824
158,24867.2130708
159,25180.1637603
160,25494.9829938
161,25811.6673476
162,26130.2133308
163,26450.6173834
164,26772.8758767
165,27096.9851112
166,27422.9413166
167,27750.7406501
168,28080.3791962
169,28411.8529651
170,28745.1578922
171,29080.2898369
172,29417.2445818
173,29756.0178317
174,30096.6052126
175,30439.0022706
176,30783.2044712
177,31129.2071981
178,31477.0057524
179,31826.5953513
180,32177.9711275
181,32531.1281278
182,32886.0613125
183,33242.7655539
184,33601.2356359
185,33961.4662524
186,34323.4520064
187,34687.1874095
188,35052.6668801
189,35419.8847429
190,35788.8352276
191,36159.5124678
192,36531.9105005
193,36906.0232642
194,37281.8445986
195,37659.368243
196,38038.5878357
197,38419.4969125
198,38802.088906
199,39186.3571442
200,39572.2948499
201,39959.895139
202,40349.1510201
203,40740.0553928
204,41132.6010471
205,41526.780662
206,41922.5868047
207,42320.0119292
208,42719.0483757
209,43119.6883687
210,43521.924017
211,43925.7473116
212,44331.1501253
213,44738.1242113
214,45146.6612022
215,45556.7526089
216,45968.3898195
217,46381.5640983
218,46796.2665846
219,47212.4882918
220,47630.220106
221,48049.4527855
222,48470.176959
223,48892.383125
224,49316.0616507
225,49741.2027708
226,50167.7965864
227,50595.8330643
228,51025.3020354
229,51456.1931941
230,51888.496097
231,52322.200162
232,52757.2946671
233,53193.7687497
234,53631.6114051
235,54070.8114858
236,54511.3577005
237,54953.2386129
238,55396.4426408
239,55840.9580552
240,56286.7729792
241,56733.875387
242,57182.2531029
243,57631.8938006
244,58082.7850018
245,58534.9140757
246,58988.2682379
247,59442.8345492
248,59898.5999153
249,60355.5510852
250,60813.6746509
251,61272.9570459
252,61733.3845451
253,62194.9432633
254,62657.6191545
255,63121.3980114
256,63586.2654642
257,64052.2069798
258,64519.2078613
259,64987.2532471
260,65456.32811
261,65926.4172564
262,66397.5053261
263,66869.5767909
264,67342.6159544
265,67816.606951
266,68291.5337454
267,68767.3801321
268,69244.1297344
269,69721.7660042
270,70200.272221
271,70679.6314917
272,71159.82675
273,71640.8407555
274,72122.6560939
275,72605.2551758
276,73088.6202366
277,73572.7333362
278,74057.5763581
279,74543.1310097
280,75029.3788212
281,75516.301146
282,76003.8791596
283,76492.0938602
284,76980.9260676
285,77470.3564234
286,77960.365391
287,78450.9332549
288,78942.0401209
289,79433.6659159
290,79925.7903879
291,80418.3931057
292,80911.4534591
293,81404.9506589
294,81898.8637368
295,82393.1715455
296,82887.8527589
297,83382.8858722
298,83878.249202
299,84373.9208864
300,84869.8788857
301,85366.1009821
302,85862.5647803
303,86359.2477078
304,86856.1270155
305,87353.1797775
306,87850.3828922
307,88347.7130827
308,88845.1468969
309,89342.6607085
310,89840.2307174
311,90337.8329505
312,90835.4432624
313,91333.0373359
314,91830.5906829
315,92328.0786455
316,92825.4763962
317,93322.7589397
318,93819.9011129
319,94316.8775868
320,94813.6628667
321,95310.2312939
322,95806.5570464
323,96302.6141406
324,96798.3764319
325,97293.8176162
326,97788.9112316
327,98283.6306591
328,98777.9491244
329,99271.8396994
330,99765.2753033
331,100258.228705
332,100750.672523
333,101242.57923
334,101733.92115
335,102224.670466
336,102714.799217
337,103204.279301
338,103693.082478
339,104181.180371
340,104668.544469
341,105155.146128
342,105640.956572
343,106125.9469
344,106610.088081
345,107093.350962
346,107575.706269
347,108057.124608
348,108537.576467
349,109017.032221
350,109495.462133
351,109972.836357
352,110449.124939
353,110924.297822
354,111398.324848
355,111871.175759
356,112342.820203
357,112813.227734
358,113282.367817
359,113750.20983
360,114216.723066
361,114681.876739
362,115145.639985
363,115607.981864
364,116068.871366
365,116528.277414
366,116986.168865
367,117442.514515
368,117897.283103
369,118350.443313
370,118801.96378
371,119251.813089
372,119699.959785
373,120146.37237
374,120591.019312
375,121033.869047
376,121474.889981
377,121914.050496
378,122351.318955
379,122786.663702
380,123220.053069
381,123651.455381
382,124080.838956
383,124508.172114
384,124933.423177
385,125356.560477
386,125777.552356
387,126196.367174
388,126612.973312
389,127027.339176
390,127439.433201
391,127849.223857
392,128256.679654
393,128661.769142
394,129064.460922
395,129464.723645
396,129862.526019
397,130257.836816
398,130650.624871
399,131040.859093
400,131428.508464
401,131813.542049
402,132195.928995
403,132575.638543
404,132952.640026
405,133326.902878
406,133698.396636
407,134067.090948
408,134432.955576
409,134795.960402
410,135156.07543
411,135513.270796
412,135867.516769
413,136218.783755
414,136567.042308
415,136912.263128
416,137254.41707
417,137593.475149
418,137929.408544
419,138262.1886
420,138591.786841
421,138918.174967
422,139241.324863
423,139561.208602
424,139877.798453
425,140191.066883
426,140500.986563
427,140807.530374
428,141110.671411
429,141410.382986
430,141706.638637
431,141999.412131
432,142288.677468
433,142574.408885
434,142856.580866
435,143135.16814
436,143410.145692
437,143681.488763
438,143949.172856
439,144213.173744
440,144473.467471
441,144730.030356
442,144982.839002
443,145231.870297
444,145477.101419
445,145718.509842
446,145956.073338
447,146189.769986
448,146419.57817
449,146645.476589
450,146867.444258
