# Problem: coffey_evans (LGCC, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 300, dofs = 300
# Computation time: 3.8618 s
n,lambda_n
1,2.94250235143e-13
2,117.946307662
3,231.664929237
4,231.664929313
5,231.664929389
6,340.88829981
7,445.283089582
8,445.283172307
9,445.283255031
10,544.418385149
11,637.682249874
12,637.704362342
13,637.726502319
14,724.25768135
15,800.831312182
16,802.478798693
17,804.279305169
18,868.960222871
19,909.481046507
20,925.977309835
21,951.878806797
22,992.537296731
23,1032.30248264
24,1073.45003144
25,1118.1447242
26,1165.66802471
27,1215.559092
28,1267.80872632
29,1322.38489103
30,1379.22802645
31,1438.29524464
32,1499.55521029
33,1562.98195898
34,1628.55383286
35,1696.2527991
36,1766.06368975
37,1837.97362967
38,1911.9716138
39,1988.04817696
40,2066.19513196
41,2146.40536054
42,2228.6726447
43,2312.99152938
44,2399.35720975
45,2487.76543809
46,2578.21244626
47,2670.69488079
48,2765.20974827
49,2861.75436912
50,2960.32633825
51,3060.92349151
52,3163.5438769
53,3268.18572975
54,3374.84745131
55,3483.52759016
56,3594.22482607
57,3706.93795583
58,3821.66588099
59,3938.40759693
60,4057.16218339
61,4177.92879601
62,4300.70665891
63,4425.49505808
64,4552.29333552
65,4681.10088401
66,4811.91714249
67,4944.74159182
68,5079.57375115
69,5216.41317448
70,5355.25944773
71,5496.11218597
72,5638.97103102
73,5783.83564923
74,5930.70572949
75,6079.58098139
76,6230.46113365
77,6383.34593256
78,6538.23514064
79,6695.12853545
80,6854.02590839
81,7014.92706375
82,7177.8318177
83,7342.73999747
84,7509.65144057
85,7678.565994
86,7849.48351368
87,8022.40386376
88,8197.3269161
89,8374.25254973
90,8553.18065039
91,8734.11111007
92,8917.04382662
93,9101.97870337
94,9288.91564877
95,9477.85457606
96,9668.79540301
97,9861.73805159
98,10056.6824478
99,10253.6285212
100,10452.5762051
101,10653.5254359
102,10856.4761532
103,11061.4282995
104,11268.3818201
105,11477.3366628
106,11688.2927779
107,11901.2501182
108,12116.2086382
109,12333.168295
110,12552.1290474
111,12773.090856
112,12996.0536833
113,13221.0174933
114,13447.9822518
115,13676.9479258
116,13907.9144838
117,14140.8818959
118,14375.8501331
119,14612.8191678
120,14851.7889735
121,15092.7595249
122,15335.7307976
123,15580.7027682
124,15827.6754142
125,16076.6487143
126,16327.6226475
127,16580.5971942
128,16835.5723352
129,17092.5480521
130,17351.5243273
131,17612.5011437
132,17875.4784852
133,18140.4563358
134,18407.4346805
135,18676.4135047
136,18947.3927943
137,19220.3725358
138,19495.3527161
139,19772.3333227
140,20051.3143433
141,20332.2957664
142,20615.2775806
143,20900.259775
144,21187.2423391
145,21476.2252627
146,21767.2085359
147,22060.1921494
148,22355.1760939
149,22652.1603607
150,22951.144941
151,23252.1298267
152,23555.1150097
153,23860.1004823
154,24167.086237
155,24476.0722665
156,24787.0585638
157,25100.0451222
158,25415.0319349
159,25732.0189957
160,26051.0062983
161,26371.9938368
162,26694.9816054
163,27019.9695984
164,27346.9578103
165,27675.9462359
166,28006.9348701
167,28339.9237079
168,28674.9127445
169,29011.9019753
170,29350.8913967
171,29691.8810061
172,30034.8708072
173,30379.8608175
174,30726.8511002
175,31075.8418792
176,31426.8336098
177,31779.8283587
178,32134.8285231
179,32491.8501783
180,32850.900816
181,33212.0852125
182,33575.3925326
183,33941.3816729
184,34309.7322664
185,34682.8168895
186,35058.3868893
187,35444.3218592
188,35831.1241512
189,36239.5037311
190,36642.104404
191,37083.4753661
192,37504.8731217
193,37987.6154041
194,38428.7143959
195,38958.8047242
196,39419.3160947
197,40001.6402012
198,40480.9597469
199,41120.3370322
200,41617.9674306
201,42319.6015055
202,42835.299559
203,43604.9253891
204,44138.7450185
205,44982.6747735
206,45534.9770552
207,46460.1321785
208,47031.5843027
209,48045.5451198
210,48637.1141694
211,49748.1971664
212,50361.1409378
213,51578.5063608
214,52214.3631406
215,53548.1534868
216,54208.7328697
217,55670.2427195
218,56357.6194651
219,57959.4982876
220,58676.0109359
221,60432.5020722
222,61180.7575984
223,63107.9788302
224,63890.8643223
225,66007.1377117
226,66827.8397633
227,69154.0813166
228,70016.1138314
229,72576.2966489
230,73483.537734
231,76305.2463463
232,77261.9852775
233,80377.0836824
234,81388.0791358
235,84833.5214801
236,85904.0727896
237,89722.8938248
238,90858.9274586
239,95101.4609601
240,96309.6352839
241,101035.023242
242,102322.855404
243,107600.930758
244,108976.9509
245,114890.603676
246,116364.543061
247,123012.717309
248,124595.739237
249,132097.260345
250,133802.245314
251,142300.750982
252,144142.65159
253,153813.004862
254,155809.290973
255,166866.005736
256,169037.228047
257,181745.660448
258,184116.170731
259,198807.561937
260,201406.443539
261,218498.40218
262,221360.685919
263,241385.47361
264,244553.747069
265,268197.949547
266,271724.516622
267,299885.641586
268,303835.465493
269,337704.232198
270,342159.014725
271,383341.54791
272,388405.492319
273,439109.115993
274,444917.243771
275,508240.631822
276,514971.079005
277,595371.393409
278,603264.099037
279,707335.892799
280,716721.92189
281,854549.893887
282,865899.187612
283,1053523.1413
284,1067525.76971
285,1331697.98121
286,1349409.90981
287,1737444.23755
288,1760566.35769
289,2362599.1582
290,2394056.84617
291,3399399.8481
292,3444681.61544
293,5308061.25774
294,5378791.74918
295,9431718.6015
296,9557430.7354
297,21213604.1238
298,21496406.4474
299,84835797.8109
300,85966886.7694
