# Problem: coffey_evans (MBCDM, paper DOF-sweep run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 300, dofs = 300
# Computation time: 0.0330 s
n,lambda_n
1,1.44139258407e-10
2,117.946307662
3,231.664929147
4,231.664929182
5,231.664929348
6,340.88829981
7,445.283089515
8,445.283172172
9,445.283254964
10,544.418385149
11,637.682249821
12,637.704362235
13,637.726502265
14,724.25768135
15,800.831312148
16,802.478798624
17,804.279305133
18,868.960222869
19,909.48104649
20,925.977309804
21,951.878806772
22,992.537296712
23,1032.30248262
24,1073.45003142
25,1118.14472419
26,1165.6680247
27,1215.559092
28,1267.80872632
29,1322.38489104
30,1379.22802647
31,1438.29524468
32,1499.55521034
33,1562.98195904
34,1628.55383293
35,1696.2527992
36,1766.06368986
37,1837.9736298
38,1911.97161396
39,1988.04817714
40,2066.19513216
41,2146.40536077
42,2228.67264496
43,2312.99152967
44,2399.35721007
45,2487.76543845
46,2578.21244665
47,2670.69488122
48,2765.20974874
49,2861.75436963
50,2960.3263388
51,3060.9234921
52,3163.54387754
53,3268.18573044
54,3374.84745204
55,3483.52759095
56,3594.2248269
57,3706.93795672
58,3821.66588192
59,3938.40759792
60,4057.16218443
61,4177.9287971
62,4300.70666005
63,4425.49505928
64,4552.29333677
65,4681.10088532
66,4811.91714384
67,4944.74159323
68,5079.5737526
69,5216.41317598
70,5355.25944927
71,5496.11218756
72,5638.97103265
73,5783.8356509
74,5930.70573119
75,6079.58098313
76,6230.46113542
77,6383.34593435
78,6538.23514245
79,6695.12853727
80,6854.02591022
81,7014.92706558
82,7177.83181952
83,7342.73999929
84,7509.65144236
85,7678.56599577
86,7849.48351541
87,8022.40386545
88,8197.32691773
89,8374.2525513
90,8553.18065188
91,8734.11111148
92,8917.04382794
93,9101.97870458
94,9288.91564986
95,9477.85457702
96,9668.79540382
97,9861.73805225
98,10056.6824482
99,10253.6285215
100,10452.5762052
101,10653.5254358
102,10856.4761528
103,11061.4282989
104,11268.3818192
105,11477.3366616
106,11688.2927765
107,11901.2501164
108,12116.2086361
109,12333.1682926
110,12552.1290446
111,12773.0908528
112,12996.0536797
113,13221.0174893
114,13447.9822473
115,13676.9479208
116,13907.9144784
117,14140.88189
118,14375.8501267
119,14612.8191609
120,14851.7889661
121,15092.7595169
122,15335.730789
123,15580.702759
124,15827.6754045
125,16076.6487039
126,16327.6226366
127,16580.5971826
128,16835.572323
129,17092.5480392
130,17351.5243138
131,17612.5011296
132,17875.4784704
133,18140.4563204
134,18407.4346645
135,18676.413488
136,18947.392777
137,19220.3725179
138,19495.3526976
139,19772.3333036
140,20051.3143238
141,20332.2957463
142,20615.27756
143,20900.2597539
144,21187.2423176
145,21476.2252408
146,21767.2085137
147,22060.1921269
148,22355.1760713
149,22652.1603378
150,22951.1449181
151,23252.1298037
152,23555.1149869
153,23860.1004596
154,24167.0862146
155,24476.0722444
156,24787.0585422
157,25100.0451011
158,25415.0319146
159,25732.0189762
160,26051.0062799
161,26371.9938195
162,26694.9815894
163,27019.9695839
164,27346.9577975
165,27675.946225
166,28006.9348612
167,28339.9237013
168,28674.9127403
169,29011.9019735
170,29350.8913965
171,29691.8810049
172,30034.8707943
173,30379.8607606
174,30726.8508997
175,31075.8412078
176,31426.831681
177,31779.8223157
178,32134.8131082
179,32491.8040551
180,32850.7951528
181,33211.7863983
182,33574.777788
183,33939.7693192
184,34306.7609885
185,34675.7527933
186,35046.7447302
187,35419.736797
188,35794.7289904
189,36171.7213083
190,36550.7137475
191,36931.7063062
192,37314.6989811
193,37699.6917706
194,38086.6846716
195,38475.6776828
196,38866.6708007
197,39259.6640246
198,39654.6573508
199,40051.6507788
200,40450.6443051
201,40851.6379292
202,41254.6316475
203,41659.6254601
204,42066.6193629
205,42475.6133564
206,42886.6074366
207,43299.6016039
208,43714.5958544
209,44131.5901888
210,44550.5846028
211,44971.5790977
212,45394.5736688
213,45819.5683177
214,46246.5630396
215,46675.5578363
216,47106.5527027
217,47539.5476412
218,47974.5426462
219,48411.5377203
220,48850.5328579
221,49291.5280617
222,49734.5233259
223,50179.5186535
224,50626.5140383
225,51075.5094836
226,51526.504983
227,51979.5005398
228,52434.4961476
229,52891.4918096
230,53350.4875194
231,53811.48328
232,54274.4790852
233,54739.4749373
234,55206.4708308
235,55675.4667671
236,56146.4627415
237,56619.4587541
238,57094.4548013
239,57571.4508815
240,58050.446993
241,58531.4431315
242,59014.439298
243,59499.4354847
244,59986.4316962
245,60475.4279202
246,60966.424166
247,61459.4204154
248,61954.4166845
249,62451.4129469
250,62950.409228
251,63451.4054909
252,63954.4017735
253,64459.398025
254,64966.3943006
255,65475.3905313
256,65986.3867959
257,66499.3830014
258,67014.3792598
259,67531.375446
260,68050.3717187
261,68571.3679103
262,69094.3642463
263,69619.3605013
264,70146.3569992
265,70675.3534348
266,71206.3502802
267,71739.3471172
268,72274.3446486
269,72811.3422918
270,73350.3411209
271,73891.3403052
272,74434.3415406
273,74979.3436052
274,75526.3492861
275,76075.3567095
276,76626.3706837
277,77179.3881482
278,77734.417912
279,78291.4546882
280,78850.5157317
281,79411.5894803
282,79974.7116026
283,80539.8703004
284,81107.1108436
285,81676.4431386
286,82247.188807
287,82823.1440209
288,83392.801598
289,83990.0269343
290,84484.9736664
291,85349.4414295
292,85812.9144377
293,87369.4957972
294,87504.1288088
295,103946.681638
296,103964.225361
297,174217.339303
298,174225.98588
299,781333.192192
300,781360.752799
