# Problem: paine (FD, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [0, 3.14159265358979]
# Resolution N = 10000, dofs = 10000
# Computation time: 1.5098 s
n,lambda_n
1,4.89666934708
2,10.0451896357
3,16.0192663919
4,23.2662686536
5,32.2637017499
6,43.2200088423
7,56.1815741442
8,71.1529637238
9,88.1320651058
10,107.116593776
11,128.104900747
12,151.095873105
13,176.088761829
14,203.083055018
15,232.078395568
16,263.074528934
17,296.071269823
18,331.068480638
19,368.066057267
20,407.063919459
21,448.062004297
22,491.060261613
23,536.058650708
24,583.05713808
25,632.055695651
26,683.054299525
27,736.052929058
28,791.051566132
29,848.050194585
30,907.048799819
31,968.047368459
32,1031.04588808
33,1096.044347
34,1163.04273416
35,1232.04103893
36,1303.03925104
37,1376.03736048
38,1451.03535744
39,1528.03323223
40,1607.03097523
41,1688.02857691
42,1771.02602771
43,1856.02331805
44,1943.02043835
45,2032.01737891
46,2123.01412999
47,2216.01068173
48,2311.00702419
49,2408.00314727
50,2506.99904079
51,2607.9946944
52,2710.99009762
53,2815.98523981
54,2922.98011019
55,3031.97469781
56,3142.96899157
57,3255.96298018
58,3370.95665223
59,3487.94999606
60,3606.94299991
61,3727.93565178
62,3850.92793955
63,3975.91985087
64,4102.91137325
65,4231.90249397
66,4362.89320016
67,4495.88347876
68,4630.87331651
69,4767.86269997
70,4906.8516155
71,5047.8400493
72,5190.82798734
73,5335.81541543
74,5482.80231918
75,5631.788684
76,5782.77449512
77,5935.75973757
78,6090.74439619
79,6247.72845562
80,6406.71190033
81,6567.69471455
82,6730.67688237
83,6895.65838765
84,7062.63921406
85,7231.6193451
86,7402.59876403
87,7575.57745396
88,7750.55539779
89,7927.5325782
90,8106.50897772
91,8287.48457863
92,8470.45936307
93,8655.43331294
94,8842.40640998
95,9031.3786357
96,9222.34997145
97,9415.32039835
98,9610.28989733
99,9807.25844914
100,10006.2260343
101,10207.1926333
102,10410.1582261
103,10615.1227927
104,10822.0863129
105,11031.0487663
106,11242.0101322
107,11454.9703899
108,11669.9295181
109,11886.8874959
110,12105.8443016
111,12326.7999138
112,12549.7543105
113,12774.7074699
114,13001.6593696
115,13230.6099873
116,13461.5593004
117,13694.507286
118,13929.4539213
119,14166.3991829
120,14405.3430475
121,14646.2854916
122,14889.2264913
123,15134.1660226
124,15381.1040614
125,15630.0405833
126,15880.9755638
127,16133.908978
128,16388.8408011
129,16645.7710078
130,16904.6995728
131,17165.6264705
132,17428.5516752
133,17693.4751609
134,17960.3969015
135,18229.3168707
136,18500.2350419
137,18773.1513883
138,19048.0658831
139,19324.9784991
140,19603.8892089
141,19884.7979851
142,20167.7048
143,20452.6096255
144,20739.5124336
145,21028.413196
146,21319.3118842
147,21612.2084695
148,21907.1029229
149,22203.9952153
150,22502.8853175
151,22803.7732
152,23106.6588331
153,23411.5421868
154,23718.4232311
155,24027.3019357
156,24338.1782702
157,24651.0522038
158,24965.9237056
159,25282.7927447
160,25601.6592897
161,25922.5233092
162,26245.3847715
163,26570.2436447
164,26897.0998968
165,27225.9534956
166,27556.8044085
167,27889.6526029
168,28224.4980461
169,28561.3407048
170,28900.180546
171,29241.0175362
172,29583.8516417
173,29928.6828286
174,30275.5110631
175,30624.3363108
176,30975.1585373
177,31327.9777081
178,31682.7937882
179,32039.6067427
180,32398.4165364
181,32759.2231339
182,33122.0264995
183,33486.8265975
184,33853.6233918
185,34222.4168463
186,34593.2069246
187,34965.99359
188,35340.7768059
189,35717.5565352
190,36096.3327407
191,36477.105385
192,36859.8744307
193,37244.6398399
194,37631.4015746
195,38020.1595967
196,38410.9138678
197,38803.6643493
198,39198.4110026
199,39595.1537886
200,39993.8926683
201,40394.6276022
202,40797.3585508
203,41202.0854743
204,41608.8083329
205,42017.5270864
206,42428.2416945
207,42840.9521166
208,43255.6583121
209,43672.3602399
210,44091.057859
211,44511.751128
212,44934.4400055
213,45359.1244498
214,45785.8044188
215,46214.4798706
216,46645.1507628
217,47077.817053
218,47512.4786984
219,47949.1356561
220,48387.7878831
221,48828.435336
222,49271.0779714
223,49715.7157456
224,50162.3486148
225,50610.9765348
226,51061.5994615
227,51514.2173502
228,51968.8301564
229,52425.4378352
230,52884.0403416
231,53344.6376302
232,53807.2296557
233,54271.8163724
234,54738.3977345
235,55206.9736958
236,55677.5442102
237,56150.1092313
238,56624.6687123
239,57101.2226066
240,57579.770867
241,58060.3134463
242,58542.8502972
243,59027.3813719
244,59513.9066227
245,60002.4260016
246,60492.9394604
247,60985.4469507
248,61479.9484238
249,61976.443831
250,62474.9331233
251,62975.4162515
252,63477.8931662
253,63982.3638178
254,64488.8281565
255,64997.2861325
256,65507.7376954
257,66020.1827949
258,66534.6213806
259,67051.0534015
260,67569.4788067
261,68089.8975451
262,68612.3095654
263,69136.7148159
264,69663.113245
265,70191.5048007
266,70721.8894308
267,71254.267083
268,71788.6377048
269,72325.0012435
270,72863.357646
271,73403.7068594
272,73946.0488303
273,74490.3835051
274,75036.7108301
275,75585.0307515
276,76135.3432152
277,76687.6481668
278,77241.9455518
279,77798.2353155
280,78356.5174031
281,78916.7917594
282,79479.0583293
283,80043.3170571
284,80609.5678872
285,81177.8107637
286,81748.0456306
287,82320.2724316
288,82894.4911102
289,83470.7016098
290,84048.9038734
291,84629.0978441
292,85211.2834647
293,85795.4606775
294,86381.6294251
295,86969.7896496
296,87559.9412928
297,88152.0842967
298,88746.2186027
299,89342.3441523
300,89940.4608865
301,90540.5687465
302,91142.667673
303,91746.7576065
304,92352.8384874
305,92960.910256
306,93570.9728523
307,94183.0262159
308,94797.0702867
309,95413.1050039
310,96031.1303068
311,96651.1461343
312,97273.1524254
313,97897.1491186
314,98523.1361523
315,99151.1134649
316,99781.0809942
317,100413.038678
318,101046.986454
319,101682.924261
320,102320.852034
321,102960.769711
322,103602.677229
323,104246.574524
324,104892.461534
325,105540.338193
326,106190.20444
327,106842.060208
328,107495.905434
329,108151.740054
330,108809.564002
331,109469.377214
332,110131.179625
333,110794.971169
334,111460.751781
335,112128.521395
336,112798.279946
337,113470.027366
338,114143.76359
339,114819.488552
340,115497.202185
341,116176.904421
342,116858.595194
343,117542.274437
344,118227.942081
345,118915.598061
346,119605.242306
347,120296.87475
348,120990.495324
349,121686.103961
350,122383.70059
351,123083.285143
352,123784.857552
353,124488.417747
354,125193.965658
355,125901.501217
356,126611.024353
357,127322.534995
358,128036.033075
359,128751.518522
360,129468.991264
361,130188.451231
362,130909.898353
363,131633.332558
364,132358.753774
365,133086.16193
366,133815.556955
367,134546.938775
368,135280.30732
369,136015.662517
370,136753.004292
371,137492.332575
372,138233.64729
373,138976.948366
374,139722.235729
375,140469.509305
376,141218.769021
377,141970.014802
378,142723.246575
379,143478.464266
380,144235.667799
381,144994.8571
382,145756.032095
383,146519.192707
384,147284.338862
385,148051.470485
386,148820.587498
387,149591.689828
388,150364.777397
389,151139.850129
390,151916.907948
391,152695.950777
392,153476.978539
393,154259.991158
394,155044.988555
395,155831.970654
396,156620.937376
397,157411.888644
398,158204.824381
399,158999.744506
400,159796.648943
401,160595.537613
402,161396.410436
403,162199.267334
404,163004.108227
405,163810.933037
406,164619.741683
407,165430.534085
408,166243.310164
409,167058.069839
410,167874.813031
411,168693.539658
412,169514.249639
413,170336.942894
414,171161.619342
415,171988.278901
416,172816.921489
417,173647.547025
418,174480.155426
419,175314.746612
420,176151.320498
421,176989.877004
422,177830.416045
423,178672.937539
424,179517.441404
425,180363.927554
426,181212.395908
427,182062.846381
428,182915.27889
429,183769.69335
430,184626.089676
431,185484.467786
432,186344.827593
433,187207.169012
434,188071.49196
435,188937.79635
436,189806.082097
437,190676.349116
438,191548.597319
439,192422.826623
440,193299.036939
441,194177.228182
442,195057.400265
443,195939.553101
444,196823.686603
445,197709.800684
446,198597.895257
447,199487.970233
448,200380.025525
449,201274.061045
450,202170.076705
451,203068.072416
452,203968.04809
453,204870.003637
454,205773.93897
455,206679.853998
456,207587.748632
457,208497.622783
458,209409.476361
459,210323.309276
460,211239.121438
461,212156.912756
462,213076.68314
463,213998.432499
464,214922.160742
465,215847.867778
466,216775.553515
467,217705.217863
468,218636.860729
469,219570.482021
470,220506.081648
471,221443.659517
472,222383.215535
473,223324.749609
474,224268.261648
475,225213.751557
476,226161.219244
477,227110.664615
478,228062.087576
479,229015.488033
480,229970.865893
481,230928.22106
482,231887.553441
483,232848.862941
484,233812.149465
485,234777.412918
486,235744.653205
487,236713.87023
488,237685.063897
489,238658.234111
490,239633.380777
491,240610.503796
492,241589.603074
493,242570.678513
494,243553.730017
495,244538.757489
496,245525.760831
497,246514.739946
498,247505.694737
499,248498.625106
500,249493.530954
501,250490.412184
502,251489.268697
503,252490.100395
504,253492.907178
505,254497.688949
506,255504.445607
507,256513.177054
508,257523.88319
509,258536.563914
510,259551.219128
511,260567.848732
512,261586.452624
513,262607.030704
514,263629.582872
515,264654.109027
516,265680.609067
517,266709.082891
518,267739.530399
519,268771.951487
520,269806.346055
521,270842.714
522,271881.055219
523,272921.369612
524,273963.657074
525,275007.917503
526,276054.150796
527,277102.356849
528,278152.53556
529,279204.686825
530,280258.810539
531,281314.906599
532,282372.9749
533,283433.015339
534,284495.02781
535,285559.01221
536,286624.968431
537,287692.896371
538,288762.795922
539,289834.666981
540,290908.50944
541,291984.323194
542,293062.108137
543,294141.864162
544,295223.591163
545,296307.289033
546,297392.957665
547,298480.596953
548,299570.206788
549,300661.787063
550,301755.337671
551,302850.858503
552,303948.349452
553,305047.810409
554,306149.241265
555,307252.641913
556,308358.012243
557,309465.352146
558,310574.661512
559,311685.940233
560,312799.188199
561,313914.405299
562,315031.591424
563,316150.746464
564,317271.870308
565,318394.962845
566,319520.023965
567,320647.053556
568,321776.051508
569,322907.017709
570,324039.952048
571,325174.854412
572,326311.724689
573,327450.562768
574,328591.368536
575,329734.141881
576,330878.882689
577,332025.590848
578,333174.266245
579,334324.908766
580,335477.518298
581,336632.094726
582,337788.637938
583,338947.147819
584,340107.624254
585,341270.06713
586,342434.47633
587,343600.851742
588,344769.193249
589,345939.500736
590,347111.774087
591,348286.013188
592,349462.217921
593,350640.388172
594,351820.523824
595,353002.624759
596,354186.690863
597,355372.722017
598,356560.718105
599,357750.67901
600,358942.604614
601,360136.494799
602,361332.349448
603,362530.168443
604,363729.951666
605,364931.698997
606,366135.41032
607,367341.085514
608,368548.72446
609,369758.327041
610,370969.893135
611,372183.422625
612,373398.915389
613,374616.371309
614,375835.790263
615,377057.172132
616,378280.516795
617,379505.824132
618,380733.094021
619,381962.326341
620,383193.520971
621,384426.67779
622,385661.796676
623,386898.877507
624,388137.92016
625,389378.924515
626,390621.890447
627,391866.817835
628,393113.706556
629,394362.556486
630,395613.367503
631,396866.139483
632,398120.872302
633,399377.565837
634,400636.219964
635,401896.834557
636,403159.409494
637,404423.944649
638,405690.439898
639,406958.895116
640,408229.310177
641,409501.684956
642,410776.019327
643,412052.313166
644,413330.566345
645,414610.778739
646,415892.950222
647,417177.080666
648,418463.169946
649,419751.217934
650,421041.224503
651,422333.189525
652,423627.112875
653,424922.994423
654,426220.834042
655,427520.631603
656,428822.38698
657,430126.100042
658,431431.770661
659,432739.39871
660,434048.984058
661,435360.526576
662,436674.026135
663,437989.482605
664,439306.895857
665,440626.26576
666,441947.592185
667,443270.875001
668,444596.114077
669,445923.309282
670,447252.460486
671,448583.567558
672,449916.630365
673,451251.648778
674,452588.622663
675,453927.551889
676,455268.436323
677,456611.275835
678,457956.07029
679,459302.819556
680,460651.523501
681,462002.181991
682,463354.794894
683,464709.362074
684,466065.8834
685,467424.358736
686,468784.78795
687,470147.170906
688,471511.507471
689,472877.797509
690,474246.040886
691,475616.237467
692,476988.387117
693,478362.489699
694,479738.54508
695,481116.553122
696,482496.51369
697,483878.426648
698,485262.291859
699,486648.109187
700,488035.878495
701,489425.599646
702,490817.272503
703,492210.896929
704,493606.472786
705,495003.999936
706,496403.478242
707,497804.907565
708,499208.287767
709,500613.61871
710,502020.900255
711,503430.132263
712,504841.314595
713,506254.447112
714,507669.529674
715,509086.562142
716,510505.544376
717,511926.476236
718,513349.357582
719,514774.188272
720,516200.968168
721,517629.697127
722,519060.375009
723,520493.001673
724,521927.576977
725,523364.10078
726,524802.57294
727,526242.993315
728,527685.361763
729,529129.678142
730,530575.942309
731,532024.154121
732,533474.313436
733,534926.42011
734,536380.474
735,537836.474963
736,539294.422855
737,540754.317532
738,542216.15885
739,543679.946665
740,545145.680832
741,546613.361207
742,548082.987644
743,549554.56
744,551028.078128
745,552503.541884
746,553980.951121
747,555460.305694
748,556941.605457
749,558424.850264
750,559910.039968
751,561397.174423
752,562886.253482
753,564377.276998
754,565870.244824
755,567365.156813
756,568862.012817
757,570360.812689
758,571861.55628
759,573364.243443
760,574868.874028
761,576375.447889
762,577883.964876
763,579394.42484
764,580906.827632
765,582421.173103
766,583937.461103
767,585455.691483
768,586975.864094
769,588497.978784
770,590022.035405
771,591548.033805
772,593075.973833
773,594605.85534
774,596137.678174
775,597671.442185
776,599207.147219
777,600744.793127
778,602284.379757
779,603825.906955
780,605369.374571
781,606914.782453
782,608462.130446
783,610011.4184
784,611562.646161
785,613115.813575
786,614670.920491
787,616227.966753
788,617786.952209
789,619347.876705
790,620910.740087
791,622475.5422
792,624042.28289
793,625610.962002
794,627181.579383
795,628754.134876
796,630328.628326
797,631905.059579
798,633483.428479
799,635063.734869
800,636645.978594
801,638230.159498
802,639816.277424
803,641404.332217
804,642994.323719
805,644586.251773
806,646180.116222
807,647775.91691
808,649373.653678
809,650973.326368
810,652574.934824
811,654178.478887
812,655783.958399
813,657391.373201
814,659000.723134
815,660612.008041
816,662225.227761
817,663840.382137
818,665457.471007
819,667076.494214
820,668697.451596
821,670320.342995
822,671945.168249
823,673571.927199
824,675200.619685
825,676831.245544
826,678463.804617
827,680098.296743
828,681734.721759
829,683373.079505
830,685013.369819
831,686655.592539
832,688299.747504
833,689945.83455
834,691593.853515
835,693243.804237
836,694895.686553
837,696549.5003
838,698205.245315
839,699862.921434
840,701522.528494
841,703184.066331
842,704847.534781
843,706512.93368
844,708180.262863
845,709849.522167
846,711520.711426
847,713193.830475
848,714868.87915
849,716545.857285
850,718224.764714
851,719905.601272
852,721588.366794
853,723273.061112
854,724959.684061
855,726648.235475
856,728338.715186
857,730031.123028
858,731725.458834
859,733421.722436
860,735119.913668
861,736820.032362
862,738522.07835
863,740226.051464
864,741931.951535
865,743639.778397
866,745349.531879
867,747061.211814
868,748774.818032
869,750490.350364
870,752207.808642
871,753927.192695
872,755648.502354
873,757371.737449
874,759096.89781
875,760823.983267
876,762552.99365
877,764283.928787
878,766016.788508
879,767751.572642
880,769488.281018
881,771226.913464
882,772967.469809
883,774709.949881
884,776454.353508
885,778200.680519
886,779948.93074
887,781699.103999
888,783451.200124
889,785205.218941
890,786961.160278
891,788719.023962
892,790478.809818
893,792240.517673
894,794004.147353
895,795769.698685
896,797537.171494
897,799306.565605
898,801077.880845
899,802851.117037
900,804626.274009
901,806403.351583
902,808182.349585
903,809963.267839
904,811746.10617
905,813530.864401
906,815317.542357
907,817106.139861
908,818896.656736
909,820689.092807
910,822483.447895
911,824279.721825
912,826077.914418
913,827878.025498
914,829680.054887
915,831484.002406
916,833289.867879
917,835097.651126
918,836907.351969
919,838718.970231
920,840532.505731
921,842347.958291
922,844165.327732
923,845984.613875
924,847805.81654
925,849628.935547
926,851453.970716
927,853280.921868
928,855109.788822
929,856940.571397
930,858773.269414
931,860607.88269
932,862444.411046
933,864282.8543
934,866123.212269
935,867965.484774
936,869809.671632
937,871655.772661
938,873503.787679
939,875353.716503
940,877205.558951
941,879059.314841
942,880914.983989
943,882772.566212
944,884632.061327
945,886493.469151
946,888356.789499
947,890222.022189
